set,ari_mean,ari_mean,ari_mean,ari_mean,ari_mean,ari_mean,ari_mean,ari_mean,ari_mean,ari_mean,ari_mean,ari_mean,ari_mean,ari_mean,ari_mean,ari_mean,ari_mean,cifar10,cifar10,cifar10,cifar10,cifar10,cifar10,cifar10,cifar10,cifar10,cifar10,cifar10,cifar10,cifar10,cifar10,cifar10,cifar10,cifar10,cifar100,cifar100,cifar100,cifar100,cifar100,cifar100,cifar100,cifar100,cifar100,cifar100,cifar100,cifar100,cifar100,cifar100,cifar100,cifar100,cifar100,const32,const32,const32,const32,const32,const32,const32,const32,const32,const32,const32,const32,const32,const32,const32,const32,const32,geo_mean,geo_mean,geo_mean,geo_mean,geo_mean,geo_mean,geo_mean,geo_mean,geo_mean,geo_mean,geo_mean,geo_mean,geo_mean,geo_mean,geo_mean,geo_mean,geo_mean,lsunc,lsunc,lsunc,lsunc,lsunc,lsunc,lsunc,lsunc,lsunc,lsunc,lsunc,lsunc,lsunc,lsunc,lsunc,lsunc,lsunc,lsunr,lsunr,lsunr,lsunr,lsunr,lsunr,lsunr,lsunr,lsunr,lsunr,lsunr,lsunr,lsunr,lsunr,lsunr,lsunr,lsunr,svhn,svhn,svhn,svhn,svhn,svhn,svhn,svhn,svhn,svhn,svhn,svhn,svhn,svhn,svhn,svhn,svhn,uniform32,uniform32,uniform32,uniform32,uniform32,uniform32,uniform32,uniform32,uniform32,uniform32,uniform32,uniform32,uniform32,uniform32,uniform32,uniform32,uniform32
method,calib_err,calib_err,calib_err,calib_err,calib_err,ood_1t,ood_1t,ood_2t,ood_2t,ood_d_ent,ood_ent,ood_tt,ood_tt,test_metrics,test_metrics,test_metrics,test_metrics,calib_err,calib_err,calib_err,calib_err,calib_err,ood_1t,ood_1t,ood_2t,ood_2t,ood_d_ent,ood_ent,ood_tt,ood_tt,test_metrics,test_metrics,test_metrics,test_metrics,calib_err,calib_err,calib_err,calib_err,calib_err,ood_1t,ood_1t,ood_2t,ood_2t,ood_d_ent,ood_ent,ood_tt,ood_tt,test_metrics,test_metrics,test_metrics,test_metrics,calib_err,calib_err,calib_err,calib_err,calib_err,ood_1t,ood_1t,ood_2t,ood_2t,ood_d_ent,ood_ent,ood_tt,ood_tt,test_metrics,test_metrics,test_metrics,test_metrics,calib_err,calib_err,calib_err,calib_err,calib_err,ood_1t,ood_1t,ood_2t,ood_2t,ood_d_ent,ood_ent,ood_tt,ood_tt,test_metrics,test_metrics,test_metrics,test_metrics,calib_err,calib_err,calib_err,calib_err,calib_err,ood_1t,ood_1t,ood_2t,ood_2t,ood_d_ent,ood_ent,ood_tt,ood_tt,test_metrics,test_metrics,test_metrics,test_metrics,calib_err,calib_err,calib_err,calib_err,calib_err,ood_1t,ood_1t,ood_2t,ood_2t,ood_d_ent,ood_ent,ood_tt,ood_tt,test_metrics,test_metrics,test_metrics,test_metrics,calib_err,calib_err,calib_err,calib_err,calib_err,ood_1t,ood_1t,ood_2t,ood_2t,ood_d_ent,ood_ent,ood_tt,ood_tt,test_metrics,test_metrics,test_metrics,test_metrics,calib_err,calib_err,calib_err,calib_err,calib_err,ood_1t,ood_1t,ood_2t,ood_2t,ood_d_ent,ood_ent,ood_tt,ood_tt,test_metrics,test_metrics,test_metrics,test_metrics
measures,ece,gme,ice,mce,oce,auc,fpr,auc,fpr,val,val,auc,fpr,L_x,L_y,accuracy,bits_per_dim,ece,gme,ice,mce,oce,auc,fpr,auc,fpr,val,val,auc,fpr,L_x,L_y,accuracy,bits_per_dim,ece,gme,ice,mce,oce,auc,fpr,auc,fpr,val,val,auc,fpr,L_x,L_y,accuracy,bits_per_dim,ece,gme,ice,mce,oce,auc,fpr,auc,fpr,val,val,auc,fpr,L_x,L_y,accuracy,bits_per_dim,ece,gme,ice,mce,oce,auc,fpr,auc,fpr,val,val,auc,fpr,L_x,L_y,accuracy,bits_per_dim,ece,gme,ice,mce,oce,auc,fpr,auc,fpr,val,val,auc,fpr,L_x,L_y,accuracy,bits_per_dim,ece,gme,ice,mce,oce,auc,fpr,auc,fpr,val,val,auc,fpr,L_x,L_y,accuracy,bits_per_dim,ece,gme,ice,mce,oce,auc,fpr,auc,fpr,val,val,auc,fpr,L_x,L_y,accuracy,bits_per_dim,ece,gme,ice,mce,oce,auc,fpr,auc,fpr,val,val,auc,fpr,L_x,L_y,accuracy,bits_per_dim
type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ibinn,,,,,,95.70624531682022,10.667647946859903,95.53604793031168,13.012341485507244,0.09110168367624283,0.09496121853590012,95.75920045274678,10.665978609253065,,,,,,,,,,99.44321705985736,2.1334134615384617,98.93543169070513,4.5472756410256405,0.09470739215612411,0.0985669270157814,99.3088101985344,2.1334134615384617,,,,,,,,,,99.41169552780755,2.5841346153846154,98.84235777243589,5.008012820512821,0.08947384357452393,0.09333337843418121,99.1999287067436,2.5841346153846154,,,,,,,,,,81.72552184172017,41.115785256410255,82.59026442307693,44.74158653846153,0.0732048824429512,0.07706441730260849,82.71228192324467,41.105769230769226,,,,,,,,,,95.46001577476667,0.0,95.31681951160529,0.0,0.09062741559917017,0.09450784123455463,95.54065560565986,0.0,,,,,,,,,,93.71961118526953,18.13858695652174,92.90793138586957,23.675271739130434,0.09134222567081451,0.0952017605304718,93.39737131294844,18.13858695652174,,,,,,,,,,99.94744231190768,0.033967391304347824,99.94030230978261,0.10190217391304347,0.10224809497594833,0.10610762983560562,99.94682660065057,0.033967391304347824,,,,,0.6545168457512318,3.162715824135784,4.294026688162492,11.256281407035173,4.975124378109452,,,,,,,,,-2.1613731865812404,2.1211084820366843,96.7826354679803,3.5560495574727082,,,,,,99.98998397435898,0.0,100.0,0.0,0.09563365578651428,0.09949319064617157,99.98998397435898,0.0,,,,
