set,ari_mean,ari_mean,ari_mean,ari_mean,ari_mean,ari_mean,ari_mean,ari_mean,ari_mean,ari_mean,ari_mean,ari_mean,ari_mean,ari_mean,ari_mean,ari_mean,ari_mean,cifar10,cifar10,cifar10,cifar10,cifar10,cifar10,cifar10,cifar10,cifar10,cifar10,cifar10,cifar10,cifar10,cifar10,cifar10,cifar10,cifar10,cifar100,cifar100,cifar100,cifar100,cifar100,cifar100,cifar100,cifar100,cifar100,cifar100,cifar100,cifar100,cifar100,cifar100,cifar100,cifar100,cifar100,const32,const32,const32,const32,const32,const32,const32,const32,const32,const32,const32,const32,const32,const32,const32,const32,const32,geo_mean,geo_mean,geo_mean,geo_mean,geo_mean,geo_mean,geo_mean,geo_mean,geo_mean,geo_mean,geo_mean,geo_mean,geo_mean,geo_mean,geo_mean,geo_mean,geo_mean,lsunc,lsunc,lsunc,lsunc,lsunc,lsunc,lsunc,lsunc,lsunc,lsunc,lsunc,lsunc,lsunc,lsunc,lsunc,lsunc,lsunc,lsunr,lsunr,lsunr,lsunr,lsunr,lsunr,lsunr,lsunr,lsunr,lsunr,lsunr,lsunr,lsunr,lsunr,lsunr,lsunr,lsunr,svhn,svhn,svhn,svhn,svhn,svhn,svhn,svhn,svhn,svhn,svhn,svhn,svhn,svhn,svhn,svhn,svhn,uniform32,uniform32,uniform32,uniform32,uniform32,uniform32,uniform32,uniform32,uniform32,uniform32,uniform32,uniform32,uniform32,uniform32,uniform32,uniform32,uniform32
method,calib_err,calib_err,calib_err,calib_err,calib_err,ood_1t,ood_1t,ood_2t,ood_2t,ood_d_ent,ood_ent,ood_tt,ood_tt,test_metrics,test_metrics,test_metrics,test_metrics,calib_err,calib_err,calib_err,calib_err,calib_err,ood_1t,ood_1t,ood_2t,ood_2t,ood_d_ent,ood_ent,ood_tt,ood_tt,test_metrics,test_metrics,test_metrics,test_metrics,calib_err,calib_err,calib_err,calib_err,calib_err,ood_1t,ood_1t,ood_2t,ood_2t,ood_d_ent,ood_ent,ood_tt,ood_tt,test_metrics,test_metrics,test_metrics,test_metrics,calib_err,calib_err,calib_err,calib_err,calib_err,ood_1t,ood_1t,ood_2t,ood_2t,ood_d_ent,ood_ent,ood_tt,ood_tt,test_metrics,test_metrics,test_metrics,test_metrics,calib_err,calib_err,calib_err,calib_err,calib_err,ood_1t,ood_1t,ood_2t,ood_2t,ood_d_ent,ood_ent,ood_tt,ood_tt,test_metrics,test_metrics,test_metrics,test_metrics,calib_err,calib_err,calib_err,calib_err,calib_err,ood_1t,ood_1t,ood_2t,ood_2t,ood_d_ent,ood_ent,ood_tt,ood_tt,test_metrics,test_metrics,test_metrics,test_metrics,calib_err,calib_err,calib_err,calib_err,calib_err,ood_1t,ood_1t,ood_2t,ood_2t,ood_d_ent,ood_ent,ood_tt,ood_tt,test_metrics,test_metrics,test_metrics,test_metrics,calib_err,calib_err,calib_err,calib_err,calib_err,ood_1t,ood_1t,ood_2t,ood_2t,ood_d_ent,ood_ent,ood_tt,ood_tt,test_metrics,test_metrics,test_metrics,test_metrics,calib_err,calib_err,calib_err,calib_err,calib_err,ood_1t,ood_1t,ood_2t,ood_2t,ood_d_ent,ood_ent,ood_tt,ood_tt,test_metrics,test_metrics,test_metrics,test_metrics
measures,ece,gme,ice,mce,oce,auc,fpr,auc,fpr,val,val,auc,fpr,L_x,L_y,accuracy,bits_per_dim,ece,gme,ice,mce,oce,auc,fpr,auc,fpr,val,val,auc,fpr,L_x,L_y,accuracy,bits_per_dim,ece,gme,ice,mce,oce,auc,fpr,auc,fpr,val,val,auc,fpr,L_x,L_y,accuracy,bits_per_dim,ece,gme,ice,mce,oce,auc,fpr,auc,fpr,val,val,auc,fpr,L_x,L_y,accuracy,bits_per_dim,ece,gme,ice,mce,oce,auc,fpr,auc,fpr,val,val,auc,fpr,L_x,L_y,accuracy,bits_per_dim,ece,gme,ice,mce,oce,auc,fpr,auc,fpr,val,val,auc,fpr,L_x,L_y,accuracy,bits_per_dim,ece,gme,ice,mce,oce,auc,fpr,auc,fpr,val,val,auc,fpr,L_x,L_y,accuracy,bits_per_dim,ece,gme,ice,mce,oce,auc,fpr,auc,fpr,val,val,auc,fpr,L_x,L_y,accuracy,bits_per_dim,ece,gme,ice,mce,oce,auc,fpr,auc,fpr,val,val,auc,fpr,L_x,L_y,accuracy,bits_per_dim
type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ibinn,,,,,,59.98058992136049,65.59926524260764,75.34105934777288,58.53764538289463,0.043674733489751816,0.0556451641023159,75.31355043052052,58.8363527714165,,,,,0.8173424550530846,3.9543274643577924,6.4443319499654805,11.739130434782608,0.0,,,,,,,,,-0.286457176391895,2.052547969879248,92.8485576923077,6.260981587456198,,,,,,58.799396542480785,87.60016025641025,53.8010266426282,90.63501602564102,0.037942059338092804,0.04991248995065689,53.778194550383176,90.47475961538461,,,,,,,,,,53.673831856932644,74.45913461538461,71.0713591746795,66.73677884615384,0.008762459270656109,0.02073289081454277,71.06752966204259,67.03725961538461,,,,,,,,,,48.95097228423437,0.0,73.79505254268383,0.0,0.03550470780615988,0.04993748080012896,73.76671201033487,0.0,,,,,,,,,,47.47761499921614,89.74184782608695,61.69826766304348,83.35597826086956,0.0445634089410305,0.05653383955359459,61.654925053999435,83.83152173913044,,,,,,,,,,89.7058646415787,42.01766304347826,82.51492866847825,55.502717391304344,0.044835906475782394,0.05680633708834648,82.55950859690722,54.58559782608695,,,,,,,,,,10.236847513595645,99.77678571428571,82.9607739378079,54.99538177339901,0.03215065225958824,0.04412108287215233,82.83116074543162,57.08897783251231,,,,,,,,,,99.98998397435898,0.0,100.0,0.0,0.09379390627145767,0.10576433688402176,99.98998397435898,0.0,,,,
