set,ari_mean,ari_mean,ari_mean,ari_mean,ari_mean,ari_mean,ari_mean,ari_mean,ari_mean,ari_mean,ari_mean,ari_mean,ari_mean,ari_mean,ari_mean,ari_mean,ari_mean,cifar10,cifar10,cifar10,cifar10,cifar10,cifar10,cifar10,cifar10,cifar10,cifar10,cifar10,cifar10,cifar10,cifar10,cifar10,cifar10,cifar10,cifar100,cifar100,cifar100,cifar100,cifar100,cifar100,cifar100,cifar100,cifar100,cifar100,cifar100,cifar100,cifar100,cifar100,cifar100,cifar100,cifar100,const32,const32,const32,const32,const32,const32,const32,const32,const32,const32,const32,const32,const32,const32,const32,const32,const32,geo_mean,geo_mean,geo_mean,geo_mean,geo_mean,geo_mean,geo_mean,geo_mean,geo_mean,geo_mean,geo_mean,geo_mean,geo_mean,geo_mean,geo_mean,geo_mean,geo_mean,lsunc,lsunc,lsunc,lsunc,lsunc,lsunc,lsunc,lsunc,lsunc,lsunc,lsunc,lsunc,lsunc,lsunc,lsunc,lsunc,lsunc,lsunr,lsunr,lsunr,lsunr,lsunr,lsunr,lsunr,lsunr,lsunr,lsunr,lsunr,lsunr,lsunr,lsunr,lsunr,lsunr,lsunr,svhn,svhn,svhn,svhn,svhn,svhn,svhn,svhn,svhn,svhn,svhn,svhn,svhn,svhn,svhn,svhn,svhn,uniform32,uniform32,uniform32,uniform32,uniform32,uniform32,uniform32,uniform32,uniform32,uniform32,uniform32,uniform32,uniform32,uniform32,uniform32,uniform32,uniform32
method,calib_err,calib_err,calib_err,calib_err,calib_err,ood_1t,ood_1t,ood_2t,ood_2t,ood_d_ent,ood_ent,ood_tt,ood_tt,test_metrics,test_metrics,test_metrics,test_metrics,calib_err,calib_err,calib_err,calib_err,calib_err,ood_1t,ood_1t,ood_2t,ood_2t,ood_d_ent,ood_ent,ood_tt,ood_tt,test_metrics,test_metrics,test_metrics,test_metrics,calib_err,calib_err,calib_err,calib_err,calib_err,ood_1t,ood_1t,ood_2t,ood_2t,ood_d_ent,ood_ent,ood_tt,ood_tt,test_metrics,test_metrics,test_metrics,test_metrics,calib_err,calib_err,calib_err,calib_err,calib_err,ood_1t,ood_1t,ood_2t,ood_2t,ood_d_ent,ood_ent,ood_tt,ood_tt,test_metrics,test_metrics,test_metrics,test_metrics,calib_err,calib_err,calib_err,calib_err,calib_err,ood_1t,ood_1t,ood_2t,ood_2t,ood_d_ent,ood_ent,ood_tt,ood_tt,test_metrics,test_metrics,test_metrics,test_metrics,calib_err,calib_err,calib_err,calib_err,calib_err,ood_1t,ood_1t,ood_2t,ood_2t,ood_d_ent,ood_ent,ood_tt,ood_tt,test_metrics,test_metrics,test_metrics,test_metrics,calib_err,calib_err,calib_err,calib_err,calib_err,ood_1t,ood_1t,ood_2t,ood_2t,ood_d_ent,ood_ent,ood_tt,ood_tt,test_metrics,test_metrics,test_metrics,test_metrics,calib_err,calib_err,calib_err,calib_err,calib_err,ood_1t,ood_1t,ood_2t,ood_2t,ood_d_ent,ood_ent,ood_tt,ood_tt,test_metrics,test_metrics,test_metrics,test_metrics,calib_err,calib_err,calib_err,calib_err,calib_err,ood_1t,ood_1t,ood_2t,ood_2t,ood_d_ent,ood_ent,ood_tt,ood_tt,test_metrics,test_metrics,test_metrics,test_metrics
measures,ece,gme,ice,mce,oce,auc,fpr,auc,fpr,val,val,auc,fpr,L_x,L_y,accuracy,bits_per_dim,ece,gme,ice,mce,oce,auc,fpr,auc,fpr,val,val,auc,fpr,L_x,L_y,accuracy,bits_per_dim,ece,gme,ice,mce,oce,auc,fpr,auc,fpr,val,val,auc,fpr,L_x,L_y,accuracy,bits_per_dim,ece,gme,ice,mce,oce,auc,fpr,auc,fpr,val,val,auc,fpr,L_x,L_y,accuracy,bits_per_dim,ece,gme,ice,mce,oce,auc,fpr,auc,fpr,val,val,auc,fpr,L_x,L_y,accuracy,bits_per_dim,ece,gme,ice,mce,oce,auc,fpr,auc,fpr,val,val,auc,fpr,L_x,L_y,accuracy,bits_per_dim,ece,gme,ice,mce,oce,auc,fpr,auc,fpr,val,val,auc,fpr,L_x,L_y,accuracy,bits_per_dim,ece,gme,ice,mce,oce,auc,fpr,auc,fpr,val,val,auc,fpr,L_x,L_y,accuracy,bits_per_dim,ece,gme,ice,mce,oce,auc,fpr,auc,fpr,val,val,auc,fpr,L_x,L_y,accuracy,bits_per_dim
type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ibinn,,,,,,57.07235858838607,65.88050125578236,76.64279098377924,56.70798093112327,0.04816661402583122,0.05929781496524811,76.64130322425711,56.43965913391747,,,,,0.7611717063551686,3.4514476497669526,5.149174676031852,10.490196078431369,3.322259136212624,,,,,,,,,-1.0384673590843494,2.0447377807054763,92.51802884615384,5.17606022618779,,,,,,57.07298996102097,88.30128205128204,53.47493990384615,91.04567307692307,0.039615124464035034,0.05074632912874222,53.36292224209377,91.95713141025641,,,,,,,,,,41.199244612694415,82.95272435897436,72.40569411057692,66.53645833333334,0.009538539685308933,0.020669743418693542,72.4851278471837,65.44471153846155,,,,,,,,,,44.279489836373656,0.0,75.05701550756768,0.0,0.0370541087311678,0.05070729803988742,75.04023498990091,0.0,,,,,,,,,,46.222544726453634,88.34918478260869,63.75027173913044,81.21603260869566,0.04395288974046707,0.055084094405174255,63.66296978698527,81.0461956521739,,,,,,,,,,90.26583668380279,35.733695652173914,84.21537024456522,46.73913043478261,0.03968194127082825,0.05081314593553543,83.46461335419279,52.27581521739131,,,,,,,,,,7.683551571985619,99.94612068965517,86.01046990455666,54.710591133004925,0.031488265842199326,0.04261947050690651,86.88220214072813,47.91410098522167,,,,,,,,,,99.98998397435898,0.0,100.0,0.0,0.1247229054570198,0.135854110121727,99.98998397435898,0.0,,,,
