set,ari_mean,ari_mean,ari_mean,ari_mean,ari_mean,ari_mean,ari_mean,ari_mean,ari_mean,ari_mean,ari_mean,ari_mean,ari_mean,ari_mean,ari_mean,ari_mean,ari_mean,cifar10,cifar10,cifar10,cifar10,cifar10,cifar10,cifar10,cifar10,cifar10,cifar10,cifar10,cifar10,cifar10,cifar10,cifar10,cifar10,cifar10,cifar100,cifar100,cifar100,cifar100,cifar100,cifar100,cifar100,cifar100,cifar100,cifar100,cifar100,cifar100,cifar100,cifar100,cifar100,cifar100,cifar100,geo_mean,geo_mean,geo_mean,geo_mean,geo_mean,geo_mean,geo_mean,geo_mean,geo_mean,geo_mean,geo_mean,geo_mean,geo_mean,geo_mean,geo_mean,geo_mean,geo_mean,lsunr,lsunr,lsunr,lsunr,lsunr,lsunr,lsunr,lsunr,lsunr,lsunr,lsunr,lsunr,lsunr,lsunr,lsunr,lsunr,lsunr,svhn,svhn,svhn,svhn,svhn,svhn,svhn,svhn,svhn,svhn,svhn,svhn,svhn,svhn,svhn,svhn,svhn
method,calib_err,calib_err,calib_err,calib_err,calib_err,ood_1t,ood_1t,ood_2t,ood_2t,ood_d_ent,ood_ent,ood_tt,ood_tt,test_metrics,test_metrics,test_metrics,test_metrics,calib_err,calib_err,calib_err,calib_err,calib_err,ood_1t,ood_1t,ood_2t,ood_2t,ood_d_ent,ood_ent,ood_tt,ood_tt,test_metrics,test_metrics,test_metrics,test_metrics,calib_err,calib_err,calib_err,calib_err,calib_err,ood_1t,ood_1t,ood_2t,ood_2t,ood_d_ent,ood_ent,ood_tt,ood_tt,test_metrics,test_metrics,test_metrics,test_metrics,calib_err,calib_err,calib_err,calib_err,calib_err,ood_1t,ood_1t,ood_2t,ood_2t,ood_d_ent,ood_ent,ood_tt,ood_tt,test_metrics,test_metrics,test_metrics,test_metrics,calib_err,calib_err,calib_err,calib_err,calib_err,ood_1t,ood_1t,ood_2t,ood_2t,ood_d_ent,ood_ent,ood_tt,ood_tt,test_metrics,test_metrics,test_metrics,test_metrics,calib_err,calib_err,calib_err,calib_err,calib_err,ood_1t,ood_1t,ood_2t,ood_2t,ood_d_ent,ood_ent,ood_tt,ood_tt,test_metrics,test_metrics,test_metrics,test_metrics
measures,ece,gme,ice,mce,oce,auc,fpr,auc,fpr,val,val,auc,fpr,L_x,L_y,accuracy,bits_per_dim,ece,gme,ice,mce,oce,auc,fpr,auc,fpr,val,val,auc,fpr,L_x,L_y,accuracy,bits_per_dim,ece,gme,ice,mce,oce,auc,fpr,auc,fpr,val,val,auc,fpr,L_x,L_y,accuracy,bits_per_dim,ece,gme,ice,mce,oce,auc,fpr,auc,fpr,val,val,auc,fpr,L_x,L_y,accuracy,bits_per_dim,ece,gme,ice,mce,oce,auc,fpr,auc,fpr,val,val,auc,fpr,L_x,L_y,accuracy,bits_per_dim,ece,gme,ice,mce,oce,auc,fpr,auc,fpr,val,val,auc,fpr,L_x,L_y,accuracy,bits_per_dim
type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ibinn,,,,,,49.01945212467482,76.75887402567032,75.57099128577882,61.15143192483428,0.1577005535364151,0.20865707099437714,75.59676203952989,61.267387425792606,,,,,0.5189363928535661,1.3752256273391097,1.471903669700774,3.405088062622308,0.7541478129713425,,,,,,,,,-1.9060542323650458,1.9795109186417017,89.1826923076923,3.9243969465653694,,,,,,53.52050560544307,90.21434294871796,54.07457932692308,91.43629807692307,0.14353489875793457,0.1944914013147354,54.02878128643651,92.00721153846155,,,,,,,,,,28.671990987557614,71.23805794952372,73.80242710785423,57.684570328549526,0.15668852955597423,0.20788363306938196,73.80552055349456,57.4886763391968,,,,,,,,,,88.56517234640641,40.08152173913043,82.18780570652176,50.203804347826086,0.14601188898086548,0.19696840643882751,81.8572691850439,52.34375,,,,,,,,,,4.972678422174987,99.98075738916256,90.45058882389164,41.814193349753694,0.18355485796928406,0.2345113754272461,90.90423564710927,39.451200738916256,,,,
